Time ,Device ,Event Type ,Elapse Time ,Errors,Comment
31/03/2011 03:17:02,Enc#3 001 ,Time Out Error 
31/03/2011 03:16:52,Enc#3 001 ,Time Out Error 
31/03/2011 03:16:42,Enc#3 001 ,Time Out Error 
31/03/2011 03:16:12,Enc#3 001 ,Time Out Error 
31/03/2011 03:16:01,Enc#3 001 ,Time Out Error 
31/03/2011 03:15:51,Enc#3 001 ,Time Out Error 
31/03/2011 03:15:40,Enc#3 001 ,Time Out Error 
31/03/2011 03:15:30,Enc#3 001 ,Time Out Error 
31/03/2011 03:15:20,Enc#3 001 ,Time Out Error 
31/03/2011 03:15:09,Enc#3 001 ,Time Out Error 
31/03/2011 03:14:59,Enc#3 001 ,Time Out Error 
31/03/2011 03:14:48,Enc#3 001 ,Time Out Error 
31/03/2011 03:14:38,Enc#3 001 ,Time Out Error 
31/03/2011 03:14:28,Enc#3 001 ,Time Out Error 
31/03/2011 03:14:17,Enc#3 001 ,Time Out Error 
31/03/2011 03:14:07,Enc#3 001 ,Time Out Error 
31/03/2011 03:13:56,Enc#3 001 ,Time Out Error 
31/03/2011 03:13:45,Enc#3 001 ,Time Out Error 
31/03/2011 03:13:35,Enc#3 001 ,Time Out Error 
31/03/2011 03:13:24,Enc#3 001 ,Time Out Error 
31/03/2011 03:13:14,Enc#3 001 ,Time Out Error 
31/03/2011 03:13:03,Enc#3 001 ,Time Out Error 
31/03/2011 03:12:53,Enc#3 001 ,Time Out Error 
31/03/2011 03:12:42,Enc#3 001 ,Time Out Error 
31/03/2011 03:12:36,Raid Set OS ,RaidSet Degraded 
31/03/2011 03:12:34,RAID1 ,Volume Degraded 
31/03/2011 03:12:30,Enc#3 000 ,Time Out Error 
31/03/2011 03:12:20,Enc#3 000 ,Time Out Error 
31/03/2011 03:12:10,Enc#3 001 ,Time Out Error 
31/03/2011 03:11:59,Enc#3 001 ,Time Out Error 
31/03/2011 03:11:49,Enc#3 000 ,Time Out Error 
31/03/2011 03:11:38,Enc#3 001 ,Time Out Error 
31/03/2011 03:11:28,Enc#3 000 ,Time Out Error 
31/03/2011 03:11:18,Enc#4 020 ,Time Out Error 
31/03/2011 03:11:08,Enc#4 018 ,Time Out Error 
31/03/2011 03:10:58,Enc#4 018 ,Time Out Error 
31/03/2011 03:10:47,Enc#4 002 ,Time Out Error 
31/03/2011 03:10:37,Enc#4 012 ,Time Out Error 
31/03/2011 03:10:26,Enc#4 012 ,Time Out Error 
31/03/2011 03:10:18,Enc#3 018 ,Device Failed 
31/03/2011 03:10:16,Enc#3 023 ,Time Out Error 
31/03/2011 03:10:11,Raid Set A ,RaidSet Degraded 
31/03/2011 03:10:09,R60Vol2-1 ,Volume Degraded ,,,Log between March 24th and March 31st has been lost. It has been captured in picture though:
31/03/2011 03:10:00,Enc#3 018 ,Time Out Error ,,,http://mysite.science.uottawa.ca/nbiga058/microway/20110331_Failure/ArecaLogs/IMG_2011-03-31_10.49.47.700.jpg
31/03/2011 03:09:50,Enc#3 018 ,Time Out Error ,,,http://mysite.science.uottawa.ca/nbiga058/microway/20110331_Failure/ArecaLogs/IMG_2011-03-31_10.49.52.727.jpg
31/03/2011 03:09:40,Enc#3 012 ,Time Out Error ,,,http://mysite.science.uottawa.ca/nbiga058/microway/20110331_Failure/ArecaLogs/IMG_2011-03-31_10.50.01.732.jpg
31/03/2011 03:09:29,Enc#3 005 ,Time Out Error ,,,http://mysite.science.uottawa.ca/nbiga058/microway/20110331_Failure/ArecaLogs/IMG_2011-03-31_10.50.09.745.jpg
31/03/2011 03:09:19,Enc#3 021 ,Time Out Error ,,,http://mysite.science.uottawa.ca/nbiga058/microway/20110331_Failure/ArecaLogs/IMG_2011-03-31_10.50.14.971.jpg
31/03/2011 03:09:08,Enc#3 021 ,Time Out Error ,,,http://mysite.science.uottawa.ca/nbiga058/microway/20110331_Failure/ArecaLogs/IMG_2011-03-31_10.50.21.333.jpg
,,,,,Major disks failure
24/03/2011 14:25:54,Proxy Or Inband ,HTTP Log In 
16/03/2011 08:12:43,Proxy Or Inband ,HTTP Log In 
13/03/2011 23:05:24,Enc#4 011 ,Reading Error 
18/02/2011 10:13:33,Proxy Or Inband ,HTTP Log In 
07/02/2011 19:59:17,Proxy Or Inband ,HTTP Log In 
07/02/2011 19:59:16,Proxy Or Inband ,HTTP Log In 
07/02/2011 19:59:16,Proxy Or Inband ,HTTP Log In 
07/02/2011 19:59:15,Proxy Or Inband ,HTTP Log In 
07/02/2011 19:59:15,Proxy Or Inband ,HTTP Log In 
07/02/2011 19:59:14,Proxy Or Inband ,HTTP Log In 
07/02/2011 19:59:11,Proxy Or Inband,HTTP Log In
07/02/2011 19:59:10,Proxy Or Inband,HTTP Log In
07/02/2011 19:59:10,Proxy Or Inband,HTTP Log In
07/02/2011 19:59:09,Proxy Or Inband,HTTP Log In
07/02/2011 19:59:08,Proxy Or Inband,HTTP Log In
07/02/2011 19:59:07,Proxy Or Inband,HTTP Log In
07/02/2011 20:02:32,Proxy Or Inband,HTTP Log In
07/02/2011 20:02:31,Proxy Or Inband,HTTP Log In
07/02/2011 20:02:31,Proxy Or Inband,HTTP Log In
07/02/2011 20:02:31,Proxy Or Inband,HTTP Log In
07/02/2011 20:02:30,Proxy Or Inband,HTTP Log In
07/02/2011 20:02:30,Proxy Or Inband,HTTP Log In
07/02/2011 20:02:30,Proxy Or Inband,HTTP Log In
07/02/2011 20:02:30,Proxy Or Inband,HTTP Log In
07/02/2011 20:02:29,Proxy Or Inband,HTTP Log In
07/02/2011 20:02:29,Proxy Or Inband,HTTP Log In
07/02/2011 20:02:29,Proxy Or Inband,HTTP Log In
07/02/2011 20:02:28,Proxy Or Inband,HTTP Log In
07/02/2011 20:02:27,Proxy Or Inband,HTTP Log In
07/02/2011 20:02:27,Proxy Or Inband,HTTP Log In
07/02/2011 20:02:27,Proxy Or Inband,HTTP Log In
07/02/2011 20:02:25,Proxy Or Inband,HTTP Log In
07/02/2011 20:02:25,Proxy Or Inband,HTTP Log In
07/02/2011 20:02:25,Proxy Or Inband,HTTP Log In
03/02/2011 15:54:21, R60Vol2-1,Complete Rebuild,25:57:24
03/02/2011 00:22:06,Enc#3 003,Reading Error
02/02/2011 13:56:56, R60Vol2-1,Start Rebuilding
02/02/2011 13:56:54,Raid Set A,Rebuild RaidSet
02/02/2011 13:56:54,Enc#3 007,Device Inserted
02/02/2011 13:51:19,Enc#3 007,Device Removed,,,Drive changed by NB and KB
02/02/2011 13:50:23,Proxy Or Inband,HTTP Log In
02/02/2011 13:41:19,Proxy Or Inband,HTTP Log In
31/01/2011 12:05:57,Enc#4 002,Time Out Error
21/01/2011 18:52:20, R60Vol2-1,Complete Rebuild,17:41:09
21/01/2011 18:20:52,Enc#3 007,Device Failed
21/01/2011 18:20:51,Raid Set A,RaidSet Degraded
21/01/2011 18:20:49, R60Vol2-1,Volume Degraded
21/01/2011 18:20:48,Enc#3 007,Reading Error
21/01/2011 18:20:42,Enc#3 007,Time Out Error
21/01/2011 18:20:20,Enc#3 007,Reading Error
21/01/2011 18:20:15,Enc#3 007,Time Out Error
21/01/2011 18:19:52,Enc#3 007,Reading Error
21/01/2011 18:19:47,Enc#3 007,Time Out Error
21/01/2011 18:19:35,Enc#3 007,Reading Error
21/01/2011 18:19:28,Enc#3 007,Reading Error
21/01/2011 18:19:22,Enc#3 007,Time Out Error
21/01/2011 09:29:06,Proxy Or Inband,HTTP Log In
21/01/2011 01:13:23,Enc#3 018,Reading Error
21/01/2011 01:13:18,Enc#3 018,Time Out Error
21/01/2011 01:11:21, R60Vol2-1,Start Rebuilding
21/01/2011 01:11:19,Raid Set A,Rebuild RaidSet
21/01/2011 01:11:19,Enc#3 003,Device Inserted
21/01/2011 01:11:17,Enc#3 019,Time Out Error
10/01/2011 14:42:22,Proxy Or Inband,HTTP Log In
08/01/2011 21:54:11,Proxy Or Inband,HTTP Log In
05/01/2011 22:07:03,Enc#3 003,Device Removed
05/01/2011 22:07:03,Raid Set A,RaidSet Degraded
05/01/2011 22:07:01, R60Vol2-1,Volume Degraded
05/01/2011 22:06:59,Enc#3 003,Time Out Error
05/01/2011 22:06:49,Enc#3 003,Time Out Error
27/12/2010 05:10:47,Enc#3 003,Reading Error
27/12/2010 05:10:42,Enc#3 003,Time Out Error
27/12/2010 04:54:31,Enc#3 003,Time Out Error
27/12/2010 00:38:30,Enc#3 003,Reading Error
27/12/2010 00:38:24,Enc#3 003,Time Out Error
26/12/2010 22:15:57,Enc#3 003,Reading Error
26/12/2010 22:15:52,Enc#3 003,Time Out Error
26/12/2010 22:01:53,Enc#3 003,Time Out Error
25/12/2010 15:57:01,Enc#3 003,Reading Error
25/12/2010 15:56:56,Enc#3 003,Time Out Error
25/12/2010 14:26:58,Enc#3 003,Time Out Error
24/12/2010 22:48:07,Enc#3 003,Time Out Error
24/12/2010 07:47:55,Enc#3 003,Reading Error
24/12/2010 07:47:49,Enc#3 003,Time Out Error
23/12/2010 13:53:34,RAID1,Complete Rebuild,03:24:42
23/12/2010 11:01:26,Proxy Or Inband,HTTP Log In
23/12/2010 11:01:24,Proxy Or Inband,HTTP Log In
23/12/2010 11:01:23,Proxy Or Inband,HTTP Log In
23/12/2010 11:01:23,Proxy Or Inband,HTTP Log In
23/12/2010 11:01:22,Proxy Or Inband,HTTP Log In
23/12/2010 11:01:22,Proxy Or Inband,HTTP Log In
23/12/2010 11:01:21,Proxy Or Inband,HTTP Log In
23/12/2010 11:01:20,Proxy Or Inband,HTTP Log In
23/12/2010 11:01:19,Proxy Or Inband,HTTP Log In
23/12/2010 11:01:18,Proxy Or Inband,HTTP Log In
23/12/2010 11:01:17,Proxy Or Inband,HTTP Log In
23/12/2010 11:01:16,Proxy Or Inband,HTTP Log In
23/12/2010 11:01:16,Proxy Or Inband,HTTP Log In
23/12/2010 11:01:16,Proxy Or Inband,HTTP Log In
23/12/2010 11:01:16,Proxy Or Inband,HTTP Log In
23/12/2010 11:01:15,Proxy Or Inband,HTTP Log In
23/12/2010 11:01:15,Proxy Or Inband,HTTP Log In
23/12/2010 11:01:15,Proxy Or Inband,HTTP Log In
23/12/2010 11:01:15,Proxy Or Inband,HTTP Log In
23/12/2010 11:01:14,Proxy Or Inband,HTTP Log In
23/12/2010 11:01:14,Proxy Or Inband,HTTP Log In
23/12/2010 11:01:14,Proxy Or Inband,HTTP Log In
23/12/2010 11:01:13,Proxy Or Inband,HTTP Log In
23/12/2010 11:01:13,Proxy Or Inband,HTTP Log In
23/12/2010 11:01:12,Proxy Or Inband,HTTP Log In
23/12/2010 11:01:11,Proxy Or Inband,HTTP Log In
23/12/2010 11:01:11,Proxy Or Inband,HTTP Log In
23/12/2010 11:01:09,Proxy Or Inband,HTTP Log In
23/12/2010 11:01:09,Proxy Or Inband,HTTP Log In
23/12/2010 10:45:50,Proxy Or Inband,HTTP Log In
23/12/2010 10:45:49,Proxy Or Inband,HTTP Log In
23/12/2010 10:45:47,Proxy Or Inband,HTTP Log In
23/12/2010 10:45:46,Proxy Or Inband,HTTP Log In
23/12/2010 10:45:45,Proxy Or Inband,HTTP Log In
23/12/2010 10:45:45,Proxy Or Inband,HTTP Log In
23/12/2010 10:45:33,Proxy Or Inband,HTTP Log In
23/12/2010 10:45:32,Proxy Or Inband,HTTP Log In
23/12/2010 10:45:32,Proxy Or Inband,HTTP Log In
23/12/2010 10:45:31,Proxy Or Inband,HTTP Log In
23/12/2010 10:45:31,Proxy Or Inband,HTTP Log In
23/12/2010 10:45:30,Proxy Or Inband,HTTP Log In
23/12/2010 10:45:30,Proxy Or Inband,HTTP Log In
23/12/2010 10:45:19,Proxy Or Inband,HTTP Log In
23/12/2010 10:45:18,Proxy Or Inband,HTTP Log In
23/12/2010 10:45:17,Proxy Or Inband,HTTP Log In
23/12/2010 10:45:16,Proxy Or Inband,HTTP Log In
23/12/2010 10:45:16,Proxy Or Inband,HTTP Log In
23/12/2010 10:45:15,Proxy Or Inband,HTTP Log In
23/12/2010 10:40:40,Proxy Or Inband,HTTP Log In
23/12/2010 10:40:39,Proxy Or Inband,HTTP Log In
23/12/2010 10:40:38,Proxy Or Inband,HTTP Log In
23/12/2010 10:40:37,Proxy Or Inband,HTTP Log In
23/12/2010 10:40:37,Proxy Or Inband,HTTP Log In
23/12/2010 10:40:37,Proxy Or Inband,HTTP Log In
23/12/2010 10:40:28,Proxy Or Inband,HTTP Log In
23/12/2010 10:40:25,Proxy Or Inband,HTTP Log In
23/12/2010 10:40:25,Proxy Or Inband,HTTP Log In
23/12/2010 10:40:25,Proxy Or Inband,HTTP Log In
23/12/2010 10:40:25,Proxy Or Inband,HTTP Log In
23/12/2010 10:40:24,Proxy Or Inband,HTTP Log In
23/12/2010 10:40:24,Proxy Or Inband,HTTP Log In
23/12/2010 10:40:24,Proxy Or Inband,HTTP Log In
23/12/2010 10:40:24,Proxy Or Inband,HTTP Log In
23/12/2010 10:40:23,Proxy Or Inband,HTTP Log In
23/12/2010 10:40:20,Proxy Or Inband,HTTP Log In
23/12/2010 10:40:20,Proxy Or Inband,HTTP Log In
23/12/2010 10:40:19,Proxy Or Inband,HTTP Log In
23/12/2010 10:40:17,Proxy Or Inband,HTTP Log In
23/12/2010 10:40:17,Proxy Or Inband,HTTP Log In
23/12/2010 10:40:17,Proxy Or Inband,HTTP Log In
23/12/2010 10:40:15,Proxy Or Inband,HTTP Log In
23/12/2010 10:40:15,Proxy Or Inband,HTTP Log In
23/12/2010 10:28:51,RAID1,Start Rebuilding
23/12/2010 10:28:49,Raid Set OS,Rebuild RaidSet
23/12/2010 10:28:49,Enc#3 001,Device Inserted
23/12/2010 10:24:19,Enc#3 001,Device Removed
23/12/2010 10:24:19,Raid Set OS,RaidSet Degraded
23/12/2010 10:24:17,RAID1,Volume Degraded,,,The second OS's drive (1TB) was replaced with a new 500GB by Eddie
23/12/2010 09:56:42,Proxy Or Inband,HTTP Log In
23/12/2010 09:56:41,Proxy Or Inband,HTTP Log In
23/12/2010 09:56:40,Proxy Or Inband,HTTP Log In
23/12/2010 09:56:39,Proxy Or Inband,HTTP Log In
23/12/2010 09:56:38,Proxy Or Inband,HTTP Log In
23/12/2010 09:56:32,Proxy Or Inband,HTTP Log In
23/12/2010 09:56:31,Proxy Or Inband,HTTP Log In
23/12/2010 09:56:30,Proxy Or Inband,HTTP Log In
23/12/2010 09:56:28,Proxy Or Inband,HTTP Log In
23/12/2010 09:56:27,Proxy Or Inband,HTTP Log In
23/12/2010 09:56:26,Proxy Or Inband,HTTP Log In
23/12/2010 09:56:25,Proxy Or Inband,HTTP Log In
23/12/2010 09:56:24,Proxy Or Inband,HTTP Log In
23/12/2010 09:56:21,Proxy Or Inband,HTTP Log In
23/12/2010 09:56:20,Proxy Or Inband,HTTP Log In
23/12/2010 09:56:19,Proxy Or Inband,HTTP Log In
23/12/2010 09:56:19,Proxy Or Inband,HTTP Log In
23/12/2010 09:56:18,Proxy Or Inband,HTTP Log In
23/12/2010 09:56:16,Proxy Or Inband,HTTP Log In
23/12/2010 09:56:16,Proxy Or Inband,HTTP Log In
23/12/2010 09:56:15,Proxy Or Inband,HTTP Log In
23/12/2010 09:56:14,Proxy Or Inband,HTTP Log In
23/12/2010 09:56:03,Proxy Or Inband,HTTP Log In
23/12/2010 09:56:02,Proxy Or Inband,HTTP Log In
23/12/2010 09:56:01,Proxy Or Inband,HTTP Log In
23/12/2010 09:56:01,Proxy Or Inband,HTTP Log In
23/12/2010 09:56:00,Proxy Or Inband,HTTP Log In
23/12/2010 09:56:00,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:59,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:58,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:57,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:57,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:57,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:55,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:54,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:53,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:53,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:51,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:50,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:49,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:49,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:49,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:45,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:44,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:43,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:42,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:42,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:42,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:37,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:37,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:36,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:36,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:35,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:35,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:30,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:27,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:26,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:25,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:24,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:24,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:24,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:24,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:23,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:23,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:22,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:22,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:22,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:22,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:21,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:20,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:19,Proxy Or Inband,HTTP Log In
23/12/2010 09:55:19,Proxy Or Inband,HTTP Log In
23/12/2010 09:26:52,Proxy Or Inband,HTTP Log In
23/12/2010 09:26:51,Proxy Or Inband,HTTP Log In
23/12/2010 09:26:50,Proxy Or Inband,HTTP Log In
23/12/2010 09:26:50,Proxy Or Inband,HTTP Log In
23/12/2010 09:26:49,Proxy Or Inband,HTTP Log In
23/12/2010 09:26:46,Proxy Or Inband,HTTP Log In
23/12/2010 09:26:45,Proxy Or Inband,HTTP Log In
23/12/2010 09:26:44,Proxy Or Inband,HTTP Log In
23/12/2010 09:26:09,Proxy Or Inband,HTTP Log In
23/12/2010 09:26:08,Proxy Or Inband,HTTP Log In
23/12/2010 09:26:08,Proxy Or Inband,HTTP Log In
23/12/2010 09:26:08,Proxy Or Inband,HTTP Log In
23/12/2010 09:26:08,Proxy Or Inband,HTTP Log In
23/12/2010 09:26:07,Proxy Or Inband,HTTP Log In
23/12/2010 09:26:07,Proxy Or Inband,HTTP Log In
23/12/2010 09:26:05,Proxy Or Inband,HTTP Log In
23/12/2010 09:26:04,Proxy Or Inband,HTTP Log In
23/12/2010 09:26:15,Proxy Or Inband,HTTP Log In
23/12/2010 09:26:14,Proxy Or Inband,HTTP Log In
23/12/2010 09:26:14,Proxy Or Inband,HTTP Log In
23/12/2010 09:26:14,Proxy Or Inband,HTTP Log In
23/12/2010 09:26:14,Proxy Or Inband,HTTP Log In
23/12/2010 09:26:13,Proxy Or Inband,HTTP Log In
23/12/2010 09:26:13,Proxy Or Inband,HTTP Log In
23/12/2010 09:26:13,Proxy Or Inband,HTTP Log In
23/12/2010 09:26:12,Proxy Or Inband,HTTP Log In
23/12/2010 09:26:11,Proxy Or Inband,HTTP Log In
23/12/2010 09:26:11,Proxy Or Inband,HTTP Log In
23/12/2010 08:46:44,Proxy Or Inband,HTTP Log In
22/12/2010 18:12:09,RAID1,Complete Rebuild,03:23:12
22/12/2010 17:36:39,Proxy Or Inband,HTTP Log In
22/12/2010 17:36:38,Proxy Or Inband,HTTP Log In
22/12/2010 17:36:37,Proxy Or Inband,HTTP Log In
22/12/2010 17:36:36,Proxy Or Inband,HTTP Log In
22/12/2010 17:36:36,Proxy Or Inband,HTTP Log In
22/12/2010 17:36:24,Proxy Or Inband,HTTP Log In
22/12/2010 17:36:23,Proxy Or Inband,HTTP Log In
22/12/2010 17:36:22,Proxy Or Inband,HTTP Log In
22/12/2010 17:36:21,Proxy Or Inband,HTTP Log In
22/12/2010 17:36:20,Proxy Or Inband,HTTP Log In
22/12/2010 17:36:20,Proxy Or Inband,HTTP Log In
22/12/2010 17:36:06,Proxy Or Inband,HTTP Log In
22/12/2010 17:36:05,Proxy Or Inband,HTTP Log In
22/12/2010 17:36:04,Proxy Or Inband,HTTP Log In
22/12/2010 17:36:03,Proxy Or Inband,HTTP Log In
22/12/2010 17:36:02,Proxy Or Inband,HTTP Log In
22/12/2010 17:35:50,Proxy Or Inband,HTTP Log In
22/12/2010 17:35:49,Proxy Or Inband,HTTP Log In
22/12/2010 17:35:48,Proxy Or Inband,HTTP Log In
22/12/2010 17:35:47,Proxy Or Inband,HTTP Log In
22/12/2010 17:35:46,Proxy Or Inband,HTTP Log In
22/12/2010 17:35:46,Proxy Or Inband,HTTP Log In
22/12/2010 17:35:34,Proxy Or Inband,HTTP Log In
22/12/2010 17:35:33,Proxy Or Inband,HTTP Log In
22/12/2010 17:35:31,Proxy Or Inband,HTTP Log In
22/12/2010 17:35:30,Proxy Or Inband,HTTP Log In
22/12/2010 17:35:30,Proxy Or Inband,HTTP Log In
22/12/2010 17:35:17,Proxy Or Inband,HTTP Log In
22/12/2010 17:35:15,Proxy Or Inband,HTTP Log In
22/12/2010 17:35:14,Proxy Or Inband,HTTP Log In
22/12/2010 17:35:13,Proxy Or Inband,HTTP Log In
22/12/2010 17:35:12,Proxy Or Inband,HTTP Log In
22/12/2010 17:35:01,Proxy Or Inband,HTTP Log In
22/12/2010 17:34:58,Proxy Or Inband,HTTP Log In
22/12/2010 17:34:57,Proxy Or Inband,HTTP Log In
22/12/2010 17:34:56,Proxy Or Inband,HTTP Log In
22/12/2010 17:34:55,Proxy Or Inband,HTTP Log In
22/12/2010 17:34:54,Proxy Or Inband,HTTP Log In
22/12/2010 17:34:54,Proxy Or Inband,HTTP Log In
22/12/2010 17:34:32,Proxy Or Inband,HTTP Log In
22/12/2010 17:34:32,Proxy Or Inband,HTTP Log In
22/12/2010 17:34:31,Proxy Or Inband,HTTP Log In
22/12/2010 17:34:30,Proxy Or Inband,HTTP Log In
22/12/2010 17:34:29,Proxy Or Inband,HTTP Log In
22/12/2010 17:34:28,Proxy Or Inband,HTTP Log In
22/12/2010 17:34:17,Proxy Or Inband,HTTP Log In
22/12/2010 17:34:16,Proxy Or Inband,HTTP Log In
22/12/2010 17:34:15,Proxy Or Inband,HTTP Log In
22/12/2010 17:34:14,Proxy Or Inband,HTTP Log In
22/12/2010 17:34:13,Proxy Or Inband,HTTP Log In
22/12/2010 17:34:12,Proxy Or Inband,HTTP Log In
22/12/2010 17:34:11,Proxy Or Inband,HTTP Log In
22/12/2010 17:34:00,Proxy Or Inband,HTTP Log In
22/12/2010 17:33:59,Proxy Or Inband,HTTP Log In
22/12/2010 17:33:58,Proxy Or Inband,HTTP Log In
22/12/2010 17:33:56,Proxy Or Inband,HTTP Log In
22/12/2010 17:33:56,Proxy Or Inband,HTTP Log In
22/12/2010 17:33:45,Proxy Or Inband,HTTP Log In
22/12/2010 17:33:44,Proxy Or Inband,HTTP Log In
22/12/2010 17:33:43,Proxy Or Inband,HTTP Log In
22/12/2010 17:33:42,Proxy Or Inband,HTTP Log In
22/12/2010 17:33:41,Proxy Or Inband,HTTP Log In
22/12/2010 17:33:40,Proxy Or Inband,HTTP Log In
22/12/2010 17:33:39,Proxy Or Inband,HTTP Log In
22/12/2010 17:33:24,Proxy Or Inband,HTTP Log In
22/12/2010 17:33:23,Proxy Or Inband,HTTP Log In
22/12/2010 17:33:22,Proxy Or Inband,HTTP Log In
22/12/2010 17:33:21,Proxy Or Inband,HTTP Log In
22/12/2010 17:33:21,Proxy Or Inband,HTTP Log In
22/12/2010 17:33:10,Proxy Or Inband,HTTP Log In
22/12/2010 17:33:09,Proxy Or Inband,HTTP Log In
22/12/2010 17:33:07,Proxy Or Inband,HTTP Log In
22/12/2010 17:33:06,Proxy Or Inband,HTTP Log In
22/12/2010 17:33:04,Proxy Or Inband,HTTP Log In
22/12/2010 17:33:03,Proxy Or Inband,HTTP Log In
22/12/2010 17:33:03,Proxy Or Inband,HTTP Log In
22/12/2010 17:32:51,Proxy Or Inband,HTTP Log In
22/12/2010 17:32:50,Proxy Or Inband,HTTP Log In
22/12/2010 17:32:49,Proxy Or Inband,HTTP Log In
22/12/2010 17:32:48,Proxy Or Inband,HTTP Log In
22/12/2010 17:32:47,Proxy Or Inband,HTTP Log In
22/12/2010 17:32:45,Proxy Or Inband,HTTP Log In
22/12/2010 17:32:44,Proxy Or Inband,HTTP Log In
22/12/2010 17:32:33,Proxy Or Inband,HTTP Log In
22/12/2010 17:32:32,Proxy Or Inband,HTTP Log In
22/12/2010 17:32:31,Proxy Or Inband,HTTP Log In
22/12/2010 17:32:30,Proxy Or Inband,HTTP Log In
22/12/2010 17:32:29,Proxy Or Inband,HTTP Log In
22/12/2010 17:32:28,Proxy Or Inband,HTTP Log In
22/12/2010 17:32:28,Proxy Or Inband,HTTP Log In
22/12/2010 17:32:16,Proxy Or Inband,HTTP Log In
22/12/2010 17:32:15,Proxy Or Inband,HTTP Log In
22/12/2010 17:32:14,Proxy Or Inband,HTTP Log In
22/12/2010 17:32:13,Proxy Or Inband,HTTP Log In
22/12/2010 17:32:11,Proxy Or Inband,HTTP Log In
22/12/2010 17:32:10,Proxy Or Inband,HTTP Log In
22/12/2010 17:32:10,Proxy Or Inband,HTTP Log In
22/12/2010 17:31:59,Proxy Or Inband,HTTP Log In
22/12/2010 17:31:58,Proxy Or Inband,HTTP Log In
22/12/2010 17:31:57,Proxy Or Inband,HTTP Log In
22/12/2010 17:31:56,Proxy Or Inband,HTTP Log In
22/12/2010 17:31:55,Proxy Or Inband,HTTP Log In
22/12/2010 17:31:54,Proxy Or Inband,HTTP Log In
22/12/2010 17:31:54,Proxy Or Inband,HTTP Log In
22/12/2010 17:31:42,Proxy Or Inband,HTTP Log In
22/12/2010 17:31:41,Proxy Or Inband,HTTP Log In
22/12/2010 17:31:40,Proxy Or Inband,HTTP Log In
22/12/2010 17:31:39,Proxy Or Inband,HTTP Log In
22/12/2010 17:31:38,Proxy Or Inband,HTTP Log In
22/12/2010 17:31:37,Proxy Or Inband,HTTP Log In
22/12/2010 17:31:25,Proxy Or Inband,HTTP Log In
22/12/2010 17:31:24,Proxy Or Inband,HTTP Log In
22/12/2010 17:31:23,Proxy Or Inband,HTTP Log In
22/12/2010 17:31:22,Proxy Or Inband,HTTP Log In
22/12/2010 17:31:21,Proxy Or Inband,HTTP Log In
22/12/2010 17:31:20,Proxy Or Inband,HTTP Log In
22/12/2010 17:31:19,Proxy Or Inband,HTTP Log In
22/12/2010 17:31:08,Proxy Or Inband,HTTP Log In
22/12/2010 17:31:07,Proxy Or Inband,HTTP Log In
22/12/2010 17:31:05,Proxy Or Inband,HTTP Log In
22/12/2010 17:31:04,Proxy Or Inband,HTTP Log In
22/12/2010 17:31:03,Proxy Or Inband,HTTP Log In
22/12/2010 17:31:01,Proxy Or Inband,HTTP Log In
22/12/2010 17:30:49,Proxy Or Inband,HTTP Log In
